,arr_time,exit_time,origin,total,exit_time_binned,destination
154,455,488,Colliers Wood,1,12,513
155,457,491,Colliers Wood,1,12,513
156,465,504,Colliers Wood,1,13,513
157,473,508,Colliers Wood,1,13,513
158,473,510,Colliers Wood,1,13,513
159,479,515,Colliers Wood,1,14,644
160,488,526,Colliers Wood,1,15,513
161,489,527,Colliers Wood,1,15,644
162,492,531,Colliers Wood,1,15,644
163,491,532,Colliers Wood,1,15,513
164,489,532,Colliers Wood,1,15,513
165,493,534,Colliers Wood,1,15,513
166,495,534,Colliers Wood,1,15,513
167,493,534,Colliers Wood,1,15,513
168,494,537,Colliers Wood,1,15,513
169,498,541,Colliers Wood,1,16,513
170,508,549,Colliers Wood,1,16,644
171,511,551,Colliers Wood,1,16,513
172,512,553,Colliers Wood,1,16,513
173,518,556,Colliers Wood,1,17,644
174,519,555,Colliers Wood,1,16,513
175,532,567,Colliers Wood,1,17,644
176,538,573,Colliers Wood,1,18,513
177,542,580,Colliers Wood,1,18,644
178,543,581,Colliers Wood,1,18,513
179,549,584,Colliers Wood,1,18,513
180,557,588,Colliers Wood,1,19,644
181,576,610,Colliers Wood,1,20,513
182,583,613,Colliers Wood,1,20,513
183,606,640,Colliers Wood,1,22,644
184,679,711,Colliers Wood,1,27,513
185,478,516,Colliers Wood,1,14,644
186,415,447,Colliers Wood,1,9,644
187,465,503,Colliers Wood,1,13,513
188,512,554,Colliers Wood,1,16,644
189,332,368,Colliers Wood,1,4,644
190,355,389,Colliers Wood,1,5,513
191,497,537,Colliers Wood,1,15,513
192,494,534,Colliers Wood,1,15,513
193,447,478,Colliers Wood,1,11,644
194,454,488,Colliers Wood,1,12,513
195,418,452,Colliers Wood,1,10,513
196,456,488,Colliers Wood,1,12,513
197,453,488,Colliers Wood,1,12,513
198,534,569,Colliers Wood,1,17,644
199,500,543,Colliers Wood,1,16,513
200,565,598,Colliers Wood,1,19,513
201,440,471,Colliers Wood,1,11,513
202,484,518,Colliers Wood,1,14,644
203,501,543,Colliers Wood,1,16,513
204,501,545,Colliers Wood,1,16,513
205,451,485,Colliers Wood,1,12,513
206,522,559,Colliers Wood,1,17,513
207,476,513,Colliers Wood,1,14,644
208,483,520,Colliers Wood,1,14,513
209,490,535,Colliers Wood,1,15,513
210,485,527,Colliers Wood,1,15,644
211,364,398,Colliers Wood,1,6,644
212,437,469,Colliers Wood,1,11,644
213,458,492,Colliers Wood,1,12,513
214,437,469,Colliers Wood,1,11,513
215,416,449,Colliers Wood,1,9,513
216,489,528,Colliers Wood,1,15,513
217,511,554,Colliers Wood,1,16,513
218,396,426,Colliers Wood,1,8,644
219,481,523,Colliers Wood,1,14,513
220,490,528,Colliers Wood,1,15,513
221,532,567,Colliers Wood,1,17,513
