,0
0,0
1,0
2,24
3,130
4,129
5,291
6,450
7,774
8,800
9,1275
10,1475
11,2423
12,2952
13,3144
14,3726
15,4752
16,3434
17,2423
18,1647
19,1134
20,824
21,671
22,654
23,565
24,444
25,471
26,465
27,525
