,observed,hist,median
0,0,0.0,0
1,7,0.0,0
2,7,3.0,2
3,13,10.0,8
4,24,10.0,10
5,39,27.0,23
6,54,26.0,23
7,75,53.0,61
8,120,61.0,57
9,121,101.0,72
10,126,134.0,131
11,168,163.0,177
12,218,175.0,155
13,240,219.0,200
14,301,254.0,238
15,290,315.0,324
16,252,278.0,228
17,260,280.0,208
18,284,250.0,199
19,211,254.0,213
20,216,207.0,171
21,229,211.0,192
22,279,221.0,171
23,238,256.0,229
24,256,239.0,199
25,288,256.0,224
26,346,266.0,214
27,319,316.0,278
