,destination,arr_time_binned,arr_time,exit_time,total,hist_total
5233,Lambeth North,10,464.0,475.0,1.0,0.657894736842
5234,Lambeth North,11,0.0,0.0,0.0,0.0789473684211
5235,Lambeth North,12,0.0,0.0,0.0,0.0526315789474
5236,Lambeth North,13,0.0,0.0,0.0,0.0789473684211
5237,Lambeth North,16,0.0,0.0,0.0,0.184210526316
5238,Lambeth North,17,0.0,0.0,0.0,0.105263157895
5239,Lambeth North,18,0.0,0.0,0.0,0.184210526316
5240,Lambeth North,19,0.0,0.0,0.0,0.210526315789
5241,Lambeth North,20,0.0,0.0,0.0,0.0526315789474
5242,Lambeth North,21,0.0,0.0,0.0,0.0789473684211
5243,Lambeth North,22,0.0,0.0,0.0,0.131578947368
5244,Lambeth North,23,651.0,669.0,1.0,0.184210526316
5245,Lambeth North,24,0.0,0.0,0.0,0.105263157895
5246,Lambeth North,25,0.0,0.0,0.0,0.131578947368
5247,Lambeth North,26,0.0,0.0,0.0,0.105263157895
5248,Lambeth North,27,0.0,0.0,0.0,0.210526315789
5249,Lancaster Gate,2,0.0,0.0,0.0,0.0263157894737
5250,Lancaster Gate,4,0.0,0.0,0.0,0.0526315789474
5251,Lancaster Gate,5,0.0,0.0,0.0,0.0526315789474
5252,Lancaster Gate,6,0.0,0.0,0.0,0.131578947368
5253,Lancaster Gate,7,415.0,437.0,1.0,0.578947368421
5254,Lancaster Gate,8,0.0,0.0,0.0,0.184210526316
5255,Lancaster Gate,9,0.0,0.0,0.0,0.631578947368
5256,Lancaster Gate,10,455.0,471.0,1.0,0.789473684211
5257,Lancaster Gate,11,0.0,0.0,0.0,0.236842105263
5258,Lancaster Gate,12,0.0,0.0,0.0,0.421052631579
5259,Lancaster Gate,13,0.0,0.0,0.0,0.5
5260,Lancaster Gate,14,525.0,545.0,1.0,0.842105263158
