exit_time_binned,origin,total
1,High Street Kensington,0.131578947368
1,Hillingdon,0.0263157894737
1,Holland Park,0.0263157894737
1,Hornchurch,0.0263157894737
1,Hounslow,0.342105263158
1,Hounslow Central,0.473684210526
1,Hounslow East,0.289473684211
1,Hounslow West,0.526315789474
1,Ilford,0.263157894737
1,Island Gardens,0.0789473684211
1,Isleworth,0.0263157894737
1,Kennington,0.0526315789474
1,Kenton,0.0526315789474
1,Kew Bridge,0.0526315789474
1,Kilburn,0.210526315789
1,King George V,0.0263157894737
1,Kings Cross M,0.0263157894737
1,Kingsbury,0.210526315789
1,Kingston,0.0263157894737
1,Ladbroke Grove,0.0263157894737
1,Lewisham DLR,0.157894736842
1,Leyton,3.21052631579
1,Leytonstone,2.71052631579
1,Limehouse DLR,0.526315789474
1,Liverpool Street,0.0789473684211
1,Loughton,0.473684210526
1,Manor House,0.0263157894737
1,Mile End,0.184210526316
1,Monument,0.0789473684211
1,Morden,0.5
1,Mudchute,0.105263157895
1,Neasden,0.0263157894737
1,New Barnet,0.0789473684211
1,New Beckenham,0.0526315789474
1,Newbury Park,1.15789473684
1,Norbury,0.105263157895
1,North Acton,0.105263157895
1,North Greenwich,0.342105263158
1,North Wembley,0.0263157894737
1,Northfields,0.0263157894737
1,Northolt,2.42105263158
1,Northwick Park,0.0789473684211
1,Notting Hill Gate,0.157894736842
1,Oakleigh Park,0.0263157894737
1,Oakwood,0.0526315789474
1,Osterley,0.289473684211
1,Oval,0.236842105263
1,Oxford Circus,0.0526315789474
1,Paddington,0.0263157894737
1,Parsons Green,0.0263157894737
1,Perivale,0.0526315789474
1,Pimlico,0.578947368421
1,Plaistow,2.21052631579
1,Pontoon Dock,0.210526315789
1,Poplar,0.157894736842
1,Prince Regent,0.157894736842
1,Putney Bridge,0.0526315789474
1,Queensbury,0.0263157894737
1,Queensway,0.0263157894737
1,Ravenscourt Park,0.0263157894737
1,Redbridge,0.631578947368
1,Richmond,0.263157894737
1,Rickmansworth,0.157894736842
1,Romford,0.210526315789
1,Royal Albert,0.842105263158
1,Royal Victoria,0.236842105263
1,Ruislip Gardens,0.0789473684211
1,Seven Kings,0.0263157894737
1,Seven Sisters,0.263157894737
1,Shadwell DLR,0.631578947368
1,Shenfield,0.0263157894737
1,Shepherds Bush LU,1.26315789474
1,Snaresbrook,0.368421052632
1,South Ealing,0.657894736842
1,South Kensington,0.0526315789474
1,South Kenton,0.0263157894737
1,South Quay,0.552631578947
1,South Ruislip,0.184210526316
1,South Wimbledon,0.789473684211
1,South Woodford,0.605263157895
1,Southall,0.0526315789474
1,Southfields,0.263157894737
1,Southgate,0.236842105263
1,Stamford Brook,0.394736842105
1,Star Lane,0.236842105263
1,Stepney Green,0.0526315789474
1,Stockwell,0.789473684211
1,Stonebridge Park,0.131578947368
1,Stoneleigh,0.0263157894737
1,Stratford,1.71052631579
1,Stratford High Street,0.0789473684211
1,Strawberry Hill,0.0263157894737
1,Surbiton,0.0263157894737
1,Theydon Bois,0.263157894737
1,Thornton Heath,0.0263157894737
1,Tooting Bec,0.947368421053
1,Tooting Broadway,3.10526315789
1,Tottenham Hale,0.184210526316
1,Totteridge,0.131578947368
1,Turnham Green,0.105263157895
1,Turnpike Lane,0.289473684211
1,Twickenham,0.263157894737
1,Upney,0.210526315789
1,Upton Park,1.23684210526
1,Vauxhall,0.0263157894737
1,Victoria,0.289473684211
1,Walthamstow Central,0.210526315789
1,Wanstead,0.315789473684
1,Waterloo JLE,0.0263157894737
1,Watford Met,0.0526315789474
1,Wembley Central,0.236842105263
1,Wembley Park,0.210526315789
1,West Acton,0.657894736842
1,West Finchley,0.657894736842
1,West Ham,0.342105263158
1,West Kensington,0.157894736842
1,West Ruislip,0.342105263158
1,Westferry,0.342105263158
1,White City,0.315789473684
1,Willesden Green,0.105263157895
1,Willesden Junction,1.05263157895
1,Winchmore Hill,0.0263157894737
1,Woodford,1.78947368421
1,Woodside Park,2.02631578947
2,Abbey Road,0.0263157894737
2,Abbey Wood,0.0526315789474
2,Acton Town,0.0526315789474
2,Aldgate East,0.0263157894737
2,All Saints,0.0526315789474
2,Alperton,0.0263157894737
2,Amersham,0.342105263158
2,Anerley,0.0263157894737
2,Angel,0.0526315789474
2,Archway,0.157894736842
2,Arnos Grove,0.631578947368
2,Ashfield House B,0.131578947368
2,Baker Street,0.263157894737
2,Balham,1.86842105263
2,Bank,0.131578947368
2,Barking,0.5
2,Barkingside,0.210526315789
2,Barnes,0.710526315789
2,Barnes Bridge,0.131578947368
2,Barons Court,0.0789473684211
2,Beckton,0.315789473684
2,Beckton Park,0.131578947368
2,Becontree,0.184210526316
2,Belsize Park,0.0263157894737
2,Belvedere,0.0263157894737
2,Bermondsey,0.0263157894737
2,Bethnal Green,0.605263157895
2,Blackfriars,0.0263157894737
2,Blackhorse Road,0.657894736842
2,Blackwall,0.131578947368
2,Bond Street,0.5
2,Borough,0.0263157894737
2,Boston Manor,0.157894736842
2,Bounds Green,0.657894736842
2,Bow Road,0.631578947368
2,Brent Cross,0.0263157894737
2,Brentwood,0.0789473684211
2,Brixton,1.10526315789
2,Bromley By Bow,0.421052631579
2,Bromley South,0.131578947368
2,Buckhurst Hill,0.236842105263
2,Burnt Oak,0.605263157895
2,Caledonian Road,0.184210526316
2,Camden Town,0.315789473684
2,Canada Water,0.157894736842
2,Canary Wharf DLR,0.0526315789474
2,Canary Wharf LU (E1),0.0526315789474
2,Canning Town,0.973684210526
2,Canons Park,0.105263157895
2,Chadwell Heath,0.0789473684211
2,Chalfont & Latimer,0.0263157894737
2,Chalk Farm,0.236842105263
2,Chesham,0.0263157894737
2,Chingford,0.105263157895
2,Chiswick,0.0526315789474
2,Clapham Common,1.02631578947
2,Clapham Junction,0.0526315789474
2,Clapham North,1.36842105263
2,Clapham South,0.763157894737
2,Colindale,0.342105263158
2,Colliers Wood,0.526315789474
2,Crosshbr Ldn Arena,0.447368421053
2,Croydon Stations,0.105263157895
2,Custom House DLR,0.105263157895
2,Cutty Sark,0.0263157894737
2,Dagenham Dock,0.0263157894737
2,Dagenham East,0.921052631579
2,Dagenham Heathway,1.05263157895
2,Debden,0.763157894737
2,Devons Road,0.0263157894737
2,Dollis Hill,0.210526315789
2,Ealing Broadway,1.47368421053
2,Earls Court,0.473684210526
2,Earlsfield,0.0263157894737
2,East Acton,0.473684210526
2,East Finchley,0.526315789474
2,East Ham,2.55263157895
2,East India,0.0789473684211
2,East Putney,0.105263157895
2,Eastcote,0.0263157894737
2,Edgware,0.815789473684
2,Edgware Road M,0.0789473684211
2,Elephant & Castle,0.105263157895
2,Elm Park,0.605263157895
2,Eltham,0.0263157894737
2,Embankment,0.0526315789474
2,Enfield Chase,0.0526315789474
2,Epping,3.73684210526
2,Erith,0.0263157894737
2,Essex Road,2.34210526316
2,Euston,0.289473684211
2,Euston Square,0.131578947368
2,Ewell West,0.289473684211
2,Fairlop,0.315789473684
2,Falconwood,0.0263157894737
2,Feltham,0.368421052632
2,Finchley Central,0.210526315789
2,Finchley Road,0.105263157895
2,Finsbury Park LU,0.5
2,Forest Gate,0.236842105263
2,Fulham Broadway,0.0263157894737
2,Gallions Reach,0.0526315789474
2,Gants Hill,1.97368421053
2,Gloucester Road,0.105263157895
2,Golders Green,1.0
2,Green Park,0.0526315789474
2,Greenford,1.02631578947
2,Greenwich DLR,0.105263157895
2,Hainault,1.81578947368
2,Hammersmith D,1.81578947368
2,Hampstead,0.184210526316
2,Hampton Court,0.184210526316
2,Hampton Wick,0.552631578947
2,Hanger Lane,0.947368421053
2,Harlesden,0.0263157894737
2,Harrow Wealdstone,0.0789473684211
2,Hatton Cross,0.0263157894737
2,Hayes & Harlington,0.315789473684
2,Heathrow Term 5,0.0526315789474
2,Heathrow Terminals 123 LU,0.105263157895
2,Hendon Central,0.710526315789
2,Heron Quays,0.0789473684211
2,High Barnet,0.473684210526
2,High Street Kensington,0.947368421053
2,Highams Park,0.0263157894737
2,Highbury & Islington,0.0789473684211
2,Highgate,0.289473684211
2,Holland Park,0.526315789474
2,Holloway Road,0.0526315789474
2,Hornchurch,0.684210526316
2,Hounslow Central,0.578947368421
2,Hounslow East,0.447368421053
2,Hounslow West,0.631578947368
2,Hyde Park Corner,0.0263157894737
2,Ickenham,0.131578947368
2,Ilford,0.0789473684211
2,Island Gardens,0.236842105263
2,Kennington,0.105263157895
2,Kentish Town,0.131578947368
2,Kew Bridge,0.0789473684211
2,Kew Gardens,0.631578947368
2,Kilburn,0.657894736842
2,Kilburn Park,0.394736842105
2,King George V,0.0526315789474
2,Kings Cross M,0.105263157895
2,Kings Cross N,0.0263157894737
2,Kings Cross T,0.0789473684211
2,Kingston,0.342105263158
2,Lancaster Gate,0.105263157895
2,Langdon Park,0.263157894737
2,Lewisham DLR,0.526315789474
2,Leyton,3.71052631579
2,Leytonstone,1.5
2,Limehouse DLR,0.868421052632
2,Liverpool Street,0.0263157894737
2,London Bridge,0.710526315789
2,Loughton,2.60526315789
2,Manor House,0.105263157895
2,Manor Park,0.0526315789474
2,Marble Arch,0.973684210526
2,Maryland,0.184210526316
2,Mile End,1.26315789474
2,Mill Hill East,0.342105263158
2,Mitcham Eastfields,0.0263157894737
2,Monument,0.0526315789474
2,Moorgate,0.0263157894737
2,Morden,2.52631578947
2,Mortlake,0.368421052632
2,Motspur Park,0.0263157894737
2,Mudchute,0.0526315789474
2,Neasden,0.184210526316
2,New Malden,0.0526315789474
2,Newbury Park,1.28947368421
2,Norbiton,0.0526315789474
2,Norbury,0.0263157894737
2,North Acton,0.263157894737
2,North Greenwich,2.26315789474
2,North Harrow,0.0263157894737
2,North Wembley,0.105263157895
2,Northfields,0.263157894737
2,Northolt,1.57894736842
2,Northwood,0.0263157894737
2,Norwood Junction SR,0.0789473684211
2,Notting Hill Gate,0.342105263158
2,Oakwood,0.210526315789
2,Old Street,0.0263157894737
2,Osterley,0.5
2,Oval,1.15789473684
2,Oxford Circus,0.473684210526
2,Paddington,0.131578947368
2,Palmers Green,0.0526315789474
2,Parsons Green,0.0526315789474
2,Perivale,0.947368421053
2,Piccadilly Circus,0.105263157895
2,Pimlico,0.0263157894737
2,Pinner,0.105263157895
2,Plaistow,0.657894736842
2,Plumstead,0.0263157894737
2,Pontoon Dock,0.289473684211
2,Poplar,0.263157894737
2,Preston Road,0.447368421053
2,Prince Regent,0.0263157894737
2,Putney,0.0789473684211
2,Putney Bridge,0.105263157895
2,Queens Park,0.184210526316
2,Queensbury,0.289473684211
2,Queensway,0.5
2,Rainham Essex,0.0263157894737
2,Ravenscourt Park,0.105263157895
2,Raynes Park,0.157894736842
2,Rectory Road,0.157894736842
2,Redbridge,1.10526315789
2,Richmond,1.15789473684
2,Rickmansworth,0.394736842105
2,Romford,0.342105263158
2,Royal Albert,0.368421052632
2,Royal Victoria,0.105263157895
2,Ruislip Gardens,0.763157894737
2,Ruislip Manor,0.0263157894737
2,Russell Square,0.0526315789474
2,Selhurst,0.0789473684211
2,Seven Kings,0.0263157894737
2,Seven Sisters,0.868421052632
2,Shadwell DLR,0.342105263158
2,Shepherds Bush LU,1.02631578947
2,Sloane Square,0.131578947368
2,Snaresbrook,0.605263157895
2,South Ealing,0.0263157894737
2,South Harrow,0.0789473684211
2,South Kensington,0.210526315789
2,South Quay,0.105263157895
2,South Ruislip,0.289473684211
2,South Wimbledon,0.526315789474
2,South Woodford,1.68421052632
2,Southall,0.236842105263
2,Southfields,0.105263157895
2,Southgate,0.368421052632
2,St James's Park,0.0263157894737
2,St Johns Wood,0.157894736842
2,St Margarets London,0.552631578947
2,St Pauls,0.105263157895
2,Stamford Brook,0.0526315789474
2,Stanmore,0.0263157894737
2,Stepney Green,0.0263157894737
2,Stockwell,2.42105263158
2,Stonebridge Park,0.210526315789
2,Stoneleigh,0.0526315789474
2,Stratford,3.39473684211
2,Stratford High Street,0.0263157894737
2,Strawberry Hill,0.0263157894737
2,Streatham Common,0.0263157894737
2,Streatham Hill,0.0263157894737
2,Sudbury Town,0.578947368421
2,Surbiton,0.0263157894737
2,Swiss Cottage,0.315789473684
2,Sydenham SR,0.0263157894737
2,Teddington,0.447368421053
2,Theydon Bois,0.263157894737
2,Thornton Heath,0.0263157894737
2,Tooting Bec,0.789473684211
2,Tooting Broadway,0.526315789474
2,Tottenham Court Road,0.0263157894737
2,Totteridge,0.236842105263
2,Tower Hill,0.0263157894737
2,Tufnell Park,0.342105263158
