arr_time_binned,destination,total
2,Tooting Broadway,0.0789473684211
2,Tottenham Court Road,0.131578947368
2,Tower Hill,0.0526315789474
2,Upton Park,0.0526315789474
2,Victoria,0.763157894737
2,Waterloo,0.0263157894737
2,Watford High Street,0.0263157894737
2,Watford Junction,0.0526315789474
2,Wembley Central,0.0263157894737
2,West Hampstead,0.0263157894737
2,West Kensington,0.0263157894737
2,West Silvertown,0.0526315789474
2,Westferry,0.0263157894737
2,Westminster,0.0789473684211
2,White City,0.0263157894737
2,Willesden Green,0.0263157894737
2,Woodford,0.0263157894737
3,Aldgate East,0.0263157894737
3,Arnos Grove,0.0263157894737
3,Ashfield House B,0.263157894737
3,Ashfield House C,0.0263157894737
3,Balham,0.0526315789474
3,Bank,0.0263157894737
3,Barking,0.236842105263
3,Becontree,0.0263157894737
3,Bermondsey,0.0263157894737
3,Bethnal Green,0.0789473684211
3,Blackwall,0.0526315789474
3,Bond Street,0.210526315789
3,Borough,0.0789473684211
3,Bow Road,0.0263157894737
3,Brixton,0.157894736842
3,Burnt Oak,0.315789473684
3,Canary Wharf DLR,0.236842105263
3,Canary Wharf LU (E1),0.0263157894737
3,Canning Town,0.0526315789474
3,Chancery Lane,0.184210526316
3,Clapham Common,0.157894736842
3,Clapham Junction,0.0263157894737
3,Clapham South,0.0263157894737
3,Colindale,0.0789473684211
3,Colliers Wood,0.0263157894737
3,Crosshbr Ldn Arena,0.0526315789474
3,Cutty Sark,0.0263157894737
3,Dagenham Heathway,0.0789473684211
3,Debden,0.0263157894737
3,Ealing Broadway,0.447368421053
3,East Ham,0.236842105263
3,East India,0.0526315789474
3,Elephant & Castle,0.0526315789474
3,Embankment,0.0263157894737
3,Epping,0.0789473684211
3,Essex Road,0.342105263158
3,Euston,0.0526315789474
3,Farringdon,0.0263157894737
3,Finchley Central,0.0526315789474
3,Finsbury Park LU,0.342105263158
3,Gants Hill,0.184210526316
3,Green Park,0.0789473684211
3,Greenford,0.0526315789474
3,Gunnersbury,0.0263157894737
3,Hammersmith D,0.0263157894737
3,Hampstead,0.0526315789474
3,Hanger Lane,0.0263157894737
3,Heathrow Terminal 4 LU,0.0526315789474
3,Heathrow Terminals 123 LU,0.0263157894737
3,Heron Quays,0.342105263158
3,Highgate,0.0263157894737
3,Holborn,0.105263157895
3,Holland Park,0.0263157894737
3,Hornchurch,0.0263157894737
3,Hyde Park Corner,0.0263157894737
3,Kings Cross N,0.184210526316
3,Lewisham DLR,0.0263157894737
3,Leyton,0.210526315789
3,Leytonstone,0.263157894737
3,Limehouse DLR,0.0789473684211
3,Liverpool Street,0.236842105263
3,London Bridge,0.0263157894737
3,London City Airport,0.210526315789
3,Loughton,0.0263157894737
3,Manor House,0.0263157894737
3,Marble Arch,0.184210526316
3,Marylebone,0.105263157895
3,Mile End,0.105263157895
3,Mill Hill Broadway,0.0263157894737
3,Monument,0.131578947368
3,Morden,0.184210526316
3,Newbury Park,0.0526315789474
3,Norbiton,0.0263157894737
3,North Acton,0.0789473684211
3,North Greenwich,0.0263157894737
3,Northolt,0.368421052632
3,Northwood Hills,0.105263157895
3,Notting Hill Gate,0.0263157894737
3,Oxford Circus,0.184210526316
3,Paddington,0.210526315789
3,Piccadilly Circus,0.105263157895
3,Plaistow,0.263157894737
3,Poplar,0.0263157894737
3,Redbridge,0.157894736842
3,Royal Victoria,0.0263157894737
3,Seven Kings,0.105263157895
3,Shepherds Bush LU,0.131578947368
3,Sloane Square,0.263157894737
3,South Ealing,0.0263157894737
3,South Kensington,0.842105263158
3,South Quay,0.0263157894737
3,South Wimbledon,0.0263157894737
3,Southfields,0.0526315789474
3,St James's Park,0.131578947368
3,St Pauls,0.0526315789474
3,Stepney Green,0.0526315789474
3,Stratford,0.236842105263
3,Sudbury Hill,0.0263157894737
3,Surbiton,0.0263157894737
3,Temple,0.0263157894737
3,Tooting Bec,0.0263157894737
3,Tooting Broadway,0.315789473684
3,Tottenham Court Road,0.0263157894737
3,Tower Hill,0.105263157895
3,Turnpike Lane,0.0526315789474
3,Upney,0.0789473684211
3,Upton Park,0.0263157894737
3,Victoria,0.131578947368
3,Warren Street,0.0263157894737
3,Waterloo,0.131578947368
3,Waterloo JLE,0.0526315789474
3,Wembley Central,0.0263157894737
3,Wembley Park,0.0263157894737
3,West Hampstead,0.0526315789474
3,West Silvertown,0.0789473684211
3,Westferry,0.0789473684211
3,White City,0.0263157894737
3,Willesden Green,0.236842105263
4,Aldgate,0.0526315789474
4,Aldgate East,0.0526315789474
4,Angel,0.5
4,Archway,0.0526315789474
4,Ashfield House C,0.0526315789474
4,Balham,0.0526315789474
4,Bank,0.263157894737
4,Barking,0.157894736842
4,Barons Court,0.0263157894737
4,Beckton,0.0526315789474
4,Beckton Park,0.0263157894737
4,Bethnal Green,0.0526315789474
4,Blackfriars,0.0526315789474
4,Blackwall,0.0263157894737
4,Bond Street,0.131578947368
4,Borough,0.0263157894737
4,Boston Manor,0.105263157895
4,Bounds Green,0.0789473684211
4,Bow Road,0.0789473684211
4,Brixton,0.0526315789474
4,Burnt Oak,0.447368421053
4,Canary Wharf DLR,0.736842105263
4,Canary Wharf LU (E1),0.0526315789474
4,Canning Town,0.0526315789474
4,Chalk Farm,0.0263157894737
4,Chancery Lane,0.0789473684211
4,Clapham Common,0.0789473684211
4,Clapham Junction,0.131578947368
4,Clapham North,0.0526315789474
4,Colliers Wood,0.0263157894737
4,Croydon Stations,0.0263157894737
4,Cutty Sark,0.0526315789474
4,Dagenham Heathway,0.131578947368
4,Debden,0.105263157895
4,Ealing Broadway,0.894736842105
4,Earls Court,0.0263157894737
4,East Acton,0.0263157894737
4,East Finchley,0.0263157894737
4,East Ham,0.236842105263
4,Eastcote,0.0263157894737
4,Edgware,0.0263157894737
4,Elephant & Castle,0.0526315789474
4,Embankment,0.184210526316
4,Essex Road,0.236842105263
4,Euston,0.210526315789
4,Fairlop,0.0263157894737
4,Finchley Central,0.210526315789
4,Finsbury Park LU,0.184210526316
4,Gants Hill,0.0526315789474
4,Gloucester Road,0.0263157894737
4,Green Park,0.0526315789474
4,Greenford,0.5
4,Gunnersbury,0.0789473684211
4,Hainault,0.105263157895
4,Hammersmith D,0.0263157894737
4,Hanger Lane,0.0263157894737
4,Hatch End,0.0526315789474
4,Heathrow Term 5,0.0263157894737
4,Heathrow Terminal 4 LU,0.0526315789474
4,Heathrow Terminals 123 LU,0.0526315789474
4,Hendon Central,0.0526315789474
4,Heron Quays,0.394736842105
4,Holborn,0.368421052632
4,Holloway Road,0.0263157894737
4,Homerton,0.236842105263
4,Hornchurch,0.0789473684211
4,Hounslow East,0.0263157894737
4,Hounslow West,0.0789473684211
4,Island Gardens,0.157894736842
4,Kensal Green,0.0263157894737
4,King George V,0.0526315789474
4,Kings Cross N,0.5
4,Kings Cross T,0.0526315789474
4,Lancaster Gate,0.0526315789474
4,Langdon Park,0.0526315789474
4,Latimer Road,0.0789473684211
4,Lewisham DLR,0.0789473684211
4,Leyton,1.81578947368
4,Leytonstone,0.210526315789
4,Limehouse DLR,0.0789473684211
4,Liverpool Street,0.0789473684211
4,London Bridge,0.184210526316
4,London City Airport,0.368421052632
4,Loughton,0.0263157894737
4,Manor House,0.0263157894737
4,Marble Arch,0.131578947368
4,Maryland,0.0526315789474
4,Marylebone,0.0526315789474
4,Mile End,0.184210526316
4,Monument,0.184210526316
4,Morden,0.236842105263
4,North Acton,0.0789473684211
4,North Wembley,0.0263157894737
4,Northfields,0.0263157894737
4,Northolt,0.131578947368
4,Northwood Hills,0.289473684211
4,Notting Hill Gate,0.0263157894737
4,Old Street,0.0263157894737
4,Oval,0.0263157894737
4,Oxford Circus,1.92105263158
4,Paddington,0.236842105263
4,Paddington FGW,0.0263157894737
4,Piccadilly Circus,0.657894736842
4,Plaistow,0.815789473684
4,Poplar,0.0263157894737
4,Putney,0.0263157894737
4,Queensway,0.0789473684211
4,Redbridge,0.210526315789
4,Roding Valley,0.0526315789474
4,Royal Victoria,0.0526315789474
4,Seven Kings,0.263157894737
4,Shadwell DLR,0.0526315789474
4,Shepherds Bush LU,0.315789473684
4,South Ealing,0.210526315789
4,South Kensington,0.473684210526
4,South Kenton,0.0263157894737
4,South Quay,0.0263157894737
4,South Wimbledon,0.0526315789474
4,Southfields,0.0526315789474
4,St James's Park,0.131578947368
4,St Pauls,0.105263157895
4,Stanmore,0.0263157894737
4,Stockwell,0.315789473684
4,Stratford,0.5
4,Streatham Common,0.0263157894737
4,Tooting Bec,0.0789473684211
4,Tooting Broadway,0.0526315789474
4,Tottenham Court Road,0.447368421053
4,Tower Hill,0.684210526316
4,Tufnell Park,0.0526315789474
4,Turnpike Lane,0.0789473684211
4,Upney,0.131578947368
4,Upton Park,0.0263157894737
4,Victoria,0.184210526316
4,Warwick Avenue,0.0263157894737
4,Waterloo,0.105263157895
4,Waterloo JLE,0.0263157894737
4,Watford High Street,0.0263157894737
4,Wembley Central,0.0526315789474
4,Wembley Park,0.0263157894737
4,West Acton,0.0263157894737
4,West Kensington,0.0263157894737
4,West Silvertown,0.0789473684211
4,Westbourne Park,0.0526315789474
4,Westferry,0.0263157894737
4,Westminster,0.315789473684
4,White City,0.315789473684
4,Whitechapel,0.0789473684211
4,Willesden Green,0.289473684211
4,Wood Green,0.0789473684211
4,Woodford,0.0526315789474
4,Woolwich Arsenal NR,0.0263157894737
5,Acton Town,0.0526315789474
5,Aldgate,0.0263157894737
5,Aldgate East,0.0789473684211
5,Angel,0.236842105263
5,Archway,0.0789473684211
5,Ashfield House B,0.0263157894737
5,Baker Street,0.0526315789474
5,Balham,0.184210526316
5,Bank,0.105263157895
5,Barbican,0.0263157894737
5,Barking,0.368421052632
5,Barkingside,0.0263157894737
5,Barons Court,0.0526315789474
5,Beckton,0.0526315789474
5,Beckton Park,0.0263157894737
5,Belsize Park,0.105263157895
5,Bethnal Green,0.0526315789474
5,Blackfriars,0.0263157894737
5,Blackhorse Road,0.0263157894737
5,Bond Street,0.0263157894737
5,Borough,0.0789473684211
5,Bounds Green,0.157894736842
5,Bow Road,0.0526315789474
5,Brentford,0.0789473684211
5,Brixton,0.0789473684211
5,Bromley By Bow,0.0263157894737
5,Burnt Oak,0.131578947368
5,Camden Town,0.0526315789474
5,Canary Wharf DLR,0.394736842105
5,Canning Town,0.0526315789474
5,Chancery Lane,0.131578947368
5,Chesham,0.0263157894737
5,Chiswick Park,0.0263157894737
5,Clapham Common,0.157894736842
5,Clapham Junction,0.0263157894737
5,Clapham North,0.0526315789474
5,Colindale,0.131578947368
5,Colliers Wood,0.0789473684211
5,Covent Garden,0.0263157894737
5,Custom House DLR,0.0526315789474
5,Dagenham Heathway,0.210526315789
5,Debden,0.0526315789474
5,Ealing Broadway,0.131578947368
5,Earls Court,0.473684210526
5,East Acton,0.184210526316
5,East Finchley,0.0789473684211
5,East Ham,0.157894736842
5,East India,0.0526315789474
5,East Putney,0.0526315789474
5,Elephant & Castle,0.0789473684211
5,Elm Park,0.105263157895
5,Embankment,0.184210526316
5,Epping,0.0263157894737
5,Essex Road,0.263157894737
5,Euston,0.368421052632
5,Fairlop,0.0263157894737
5,Feltham,0.0263157894737
5,Finsbury Park LU,0.131578947368
5,Fulham Broadway,0.131578947368
5,Gants Hill,0.157894736842
5,Gloucester Road,0.0526315789474
5,Golders Green,0.0263157894737
5,Goodge Street,0.0526315789474
