,0
0,24
1,79
2,126
3,196
4,347
5,541
6,656
7,869
8,1204
9,1604
10,2178
11,2649
12,3061
13,2911
14,2353
15,1737
16,1282
17,929
18,723
19,530
20,499
21,485
22,434
23,375
24,380
25,353
26,242
27,39
